NAME,STATE,DISTRICT,PARTY,EXPERIENCE,CHAMBER,VOTING_MEMBER,LEADERSHIP_PAC_1,LEADERSHIP_PAC_2,LEADERSHIP_PAC_3,LEADERSHIP_PAC_4,LEADERSHIP_PAC_1_ID,LEADERSHIP_PAC_1_NAME,LEADERSHIP_PAC_2_ID,LEADERSHIP_PAC_2_NAME,LEADERSHIP_PAC_3_ID,LEADERSHIP_PAC_3_NAME,LEADERSHIP_PAC_4_ID,LEADERSHIP_PAC_4_NAME
"Chu, Judy",California,28,Democratic,incumbent,House,Y,Y,N,N,N,C00667360,Together We Rise,,,,,,
"Cárdenas, Tony",California,29,Democratic,incumbent,House,Y,Y,N,N,N,C00570101,Victory by Investing Building & Empowering PAC,,,,,,
"Schiff, Adam B.",California,30,Democratic,incumbent,House,Y,Y,N,N,N,C00422774,United for A Strong America,,,,,,
"Napolitano, Grace F.",California,31,Democratic,incumbent,House,Y,Y,N,N,N,C00871178,GRACE PAC,,,,,,
"Sherman, Brad",California,32,Democratic,incumbent,House,Y,Y,N,N,N,C00361410,Southern California Fund,,,,,,
"Aguilar, Pete",California,33,Democratic,incumbent,House,Y,Y,Y,N,N,C00573709,CA-LUV PAC,C00663609,Progressive Majority PAC,,,,
"Gomez, Jimmy",California,34,Democratic,incumbent,House,Y,Y,N,N,N,C00683250,GENERATION GO,,,,,,
"Torres, Norma J.",California,35,Democratic,incumbent,House,Y,Y,N,N,N,C00571570,New Opportunity for Real Monumental Action,,,,,,
"Lieu, Ted",California,36,Democratic,incumbent,House,Y,Y,Y,N,N,C00589309,"Leadership, Integrity, Engagement, Unity PAC",C00798579,PROGRESSIVE PAC,,,,
"Kamlager-Dove, Sydney",California,37,Democratic,freshman,House,Y,Y,N,N,N,C00822478,UNITED FOR A BETTER TOMORROW LEADERSHIP PAC,,,,,,
"Sánchez, Linda T.",California,38,Democratic,incumbent,House,Y,Y,N,N,N,C00423079,Democrats Reshaping America,,,,,,
"Takano, Mark",California,39,Democratic,incumbent,House,Y,Y,N,N,N,C00547356,Inland Empire Strikes PAC,,,,,,
"Kim, Young",California,40,Republican,incumbent,House,Y,Y,N,N,N,C00683508,FOREVER YOUTH ORGANIZATION UTILIZING A NEW GENERATION PAC,,,,,,
"Calvert, Ken",California,41,Republican,incumbent,House,Y,Y,N,N,N,C00390161,Eureka PAC,,,,,,
"Garcia, Robert",California,42,Democratic,freshman,House,Y,Y,N,N,N,C00823773,JUSTICE LEAGUE PAC,,,,,,
"Waters, Maxine",California,43,Democratic,incumbent,House,Y,Y,N,N,N,C00248948,People Helping People,,,,,,
"Barragan, Nanette Diaz",California,44,Democratic,incumbent,House,Y,Y,N,N,N,C00659771,Luchadora PAC,,,,,,
"Steel, Michelle",California,45,Republican,incumbent,House,Y,Y,N,N,N,C00744532,SUPPORT TAXFIGHTERS & ELECT EFFECTIVE LEADERS PAC,,,,,,
"Correa, J. Luis",California,46,Democratic,incumbent,House,Y,Y,N,N,N,C00630285,OC Jobs & Education,,,,,,
"Porter, Katie",California,47,Democratic,incumbent,House,Y,Y,N,N,N,C00747766,Truth to Power,,,,,,
"Issa, Darrell E.",California,48,Republican,incumbent,House,Y,Y,N,N,N,C00450320,Invest in a Strong and Secure America,,,,,,
"Levin, Mike",California,49,Democratic,incumbent,House,Y,Y,N,N,N,C00695395,California Dream PAC,,,,,,
"Peters, Scott H.",California,50,Democratic,incumbent,House,Y,Y,N,N,N,C00563601,Supporting House Problem Solvers,,,,,,
"Jacobs, Sara",California,51,Democratic,incumbent,House,Y,Y,N,N,N,C00768887,PAC FOR GOOD,,,,,,
"Vargas, Juan",California,52,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Butler, Laphonza",California,At Large,Democratic,freshman,Senate,Y,Y,N,N,N,C00855437,MAKE EVERY DAY COUNT PAC,,,,,,
"Padilla, Alex",California,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00771238,DEFEND THE DREAM,,,,,,
"DeGette, Diana",Colorado,1,Democratic,incumbent,House,Y,Y,N,N,N,C00380675,Individuals Dedicated to Ethics & Science,,,,,,
"Neguse, Joe",Colorado,2,Democratic,incumbent,House,Y,Y,N,N,N,C00701680,Hope PAC,,,,,,
"Boebert, Lauren",Colorado,3,Republican,incumbent,House,Y,Y,N,N,N,C00764795,WE THE PEOPLE LEADERSHIP PAC,,,,,,
"Lopez, Greg",Colorado,4,Republican,freshman,House,Y,N,,,,,,,,,,,
"Lamborn, Doug",Colorado,5,Republican,incumbent,House,Y,Y,N,N,N,C00531756,Doing Our Utmost For God Liberty & Security,,,,,,
"Crow, Jason",Colorado,6,Democratic,incumbent,House,Y,Y,N,N,N,C00727784,Service First PAC,,,,,,
"Pettersen, Brittany",Colorado,7,Democratic,freshman,House,Y,Y,N,N,N,C00829408,PAC IN THE SADDLE,,,,,,
"Caraveo, Yadira",Colorado,8,Democratic,freshman,House,Y,N,N,N,N,,,,,,,,
"Bennet, Michael F.",Colorado,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00491936,Common Sense Colorado,,,,,,
"Hickenlooper, John W.",Colorado,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00687582,Giddy Up PAC,,,,,,
"Larson, John B.",Connecticut,1,Democratic,incumbent,House,Y,Y,N,N,N,C00409623,Synergy PAC,,,,,,
"Courtney, Joe",Connecticut,2,Democratic,incumbent,House,Y,Y,N,N,N,C00464727,Husky PAC,,,,,,
"DeLauro, Rosa L.",Connecticut,3,Democratic,incumbent,House,Y,Y,N,N,N,C00370122,Committee for a Democratic Future,,,,,,
"Himes, James A.",Connecticut,4,Democratic,incumbent,House,Y,Y,N,N,N,C00494112,Jobs & Innovation Matter PAC,,,,,,
"Hayes, Jahana",Connecticut,5,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Blumenthal, Richard",Connecticut,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00492983,Nutmeg PAC,,,,,,
"Murphy, Christopher",Connecticut,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00459925,MURPHPAC,,,,,,
"Blunt Rochester, Lisa",Delaware,At Large,Democratic,incumbent,House,Y,Y,N,N,N,C00633156,I Got Your Back PAC,,,,,,
"Carper, Thomas R.",Delaware,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00363648,First State PAC,,,,,,
"Coons, Christopher A.",Delaware,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00493700,Blue Hen PAC,,,,,,
"Norton, Eleanor Holmes",District of Columbia,At Large,Democratic,incumbent,House,N,Y,N,N,N,C00792895,WARRIOR ON THE HILL,,,,,,
VACANT,Florida,1,,,House,,,,,,,,,,,,,
"Dunn, Neal P.",Florida,2,Republican,incumbent,House,Y,Y,N,N,N,C00680405,Defend & Uphold Our Nation Now (DUNN PAC),,,,,,
"Cammack, Kat",Florida,3,Republican,incumbent,House,Y,Y,N,N,N,C00756551,American Grit PAC,,,,,,
"Bean, Aaron",Florida,4,Republican,freshman,House,Y,Y,N,N,N,C00824938,BE AN AMERICAN PAC,,,,,,
"Rutherford, John H.",Florida,5,Republican,incumbent,House,Y,Y,N,N,N,C00687020,Strengthening the American Republic (STAR) PAC,,,,,,
"Waltz, Michael",Florida,6,Republican,incumbent,House,Y,Y,N,N,N,C00693671,Warrior Diplomat PAC,,,,,,
"Mills, Cory",Florida,7,Republican,freshman,House,Y,Y,N,N,N,C00778449,RESTORE AMERICA'S VOICE PAC,,,,,,
"Posey, Bill",Florida,8,Republican,incumbent,House,Y,Y,N,N,N,C00471813,Accountability PAC,,,,,,
"Soto, Darren",Florida,9,Democratic,incumbent,House,Y,Y,N,N,N,C00692590,Sunshine Organization for Tremendous Opportunities (SOTO PAC),,,,,,
"Frost, Maxwell",Florida,10,Democratic,freshman,House,Y,Y,N,N,N,C00826685,A LOVE SUPREME PAC,,,,,,
"Webster, Daniel",Florida,11,Republican,incumbent,House,Y,Y,N,N,N,C00525592,Cool PAC,,,,,,
"Bilirakis, Gus M.",Florida,12,Republican,incumbent,House,Y,Y,N,N,N,C00531517,Giving Us Security PAC,,,,,,
"Luna, Anna Paulina",Florida,13,Republican,freshman,House,Y,N,N,N,N,,,,,,,,
"Castor, Kathy",Florida,14,Democratic,incumbent,House,Y,Y,N,N,N,C00526301,Athena PAC,,,,,,
"Lee, Laurel M.",Florida,15,Republican,freshman,House,Y,Y,N,N,N,C00825430,Florida Freedom Fund PAC,,,,,,
"Buchanan, Vern",Florida,16,Republican,incumbent,House,Y,Y,N,N,N,C00431403,Vote to Elect Republicans Now PAC,,,,,,
"Steube, W. Gregory",Florida,17,Republican,incumbent,House,Y,Y,N,N,N,C00695874,Getting Republicans Elected for Generations PAC (GREG PAC),,,,,,
"Franklin, C. Scott",Florida,18,Republican,incumbent,House,Y,Y,N,N,N,C00770701,CEILING AND VISIBILITY UNLIMITED (CAVU PAC),,,,,,
"Donalds, Byron",Florida,19,Republican,incumbent,House,Y,Y,Y,N,N,C00755728,Proven Conservatives PAC,C00894147,PROVEN CONSERVATIVES PAC - FEDERAL,,,,
"Cherfilus-McCormick, Sheila",Florida,20,Democratic,incumbent,House,Y,Y,N,N,N,C00806240,Protecting Democracy,,,,,,
"Mast, Brian J.",Florida,21,Republican,incumbent,House,Y,Y,N,N,N,C00583153,Valor PAC,,,,,,
"Frankel, Lois",Florida,22,Democratic,incumbent,House,Y,Y,N,N,N,C00545137,LOIS PAC,,,,,,
"Moskowitz, Jared",Florida,23,Democratic,freshman,House,Y,Y,N,N,N,C00831362,THE MPIRE STRIKES PAC,,,,,,
"Wilson, Frederica S.",Florida,24,Democratic,incumbent,House,Y,Y,N,N,N,C00545970,Role Model Leadership PAC,,,,,,
"Wasserman Schultz, Debbie",Florida,25,Democratic,incumbent,House,Y,Y,N,N,N,C00425470,Democrats Win Seats PAC,,,,,,
"Diaz-Balart, Mario",Florida,26,Republican,incumbent,House,Y,Y,N,N,N,C00565630,Maintaining All Republicans in Office,,,,,,
"Salazar, Maria Elvira",Florida,27,Republican,incumbent,House,Y,Y,N,N,N,C00769695,FREEDOM FORCE PAC,,,,,,
"Gimenez, Carlos A.",Florida,28,Republican,incumbent,House,Y,Y,N,N,N,C00737270,Residents First PAC,,,,,,
"Rubio, Marco",Florida,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00500025,Reclaim America PAC,,,,,,
"Scott, Rick",Florida,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00692327,Lets Get to Work PAC,,,,,,
"Carter, Earl L. ""Buddy""",Georgia,1,Republican,incumbent,House,Y,Y,N,N,N,C00597062,Buddy PAC,,,,,,
"Bishop, Sanford D., Jr.",Georgia,2,Democratic,incumbent,House,Y,Y,N,N,N,C00452748,GOLD PAC,,,,,,
"Ferguson, A. Drew, IV",Georgia,3,Republican,incumbent,House,Y,Y,N,N,N,C00738260,Point Action PAC,,,,,,
"Johnson, Henry C. ""Hank,"" Jr.",Georgia,4,Democratic,incumbent,House,Y,Y,N,N,N,C00540989,Community PAC,,,,,,
"Williams, Nikema",Georgia,5,Democratic,incumbent,House,Y,Y,N,N,N,C00769216,THE GOOD TROUBLE PAC,,,,,,
"McCormick, Richard",Georgia,6,Republican,freshman,House,Y,Y,N,N,N,C00819425,OLD BREED PAC,,,,,,
"McBath, Lucy",Georgia,7,Democratic,incumbent,House,Y,Y,N,N,N,C00691352,Safer and Stronger Communities PAC,,,,,,
"Scott, Austin",Georgia,8,Republican,incumbent,House,Y,Y,N,N,N,C00500793,Wells PAC,,,,,,
"Clyde, Andrew S.",Georgia,9,Republican,incumbent,House,Y,Y,N,N,N,C00482703,FREEDOM PAC,,,,,,
"Collins, Mike",Georgia,10,Republican,freshman,House,Y,Y,N,N,N,C00802595,Overhaul PAC,,,,,,
"Loudermilk, Barry",Georgia,11,Republican,incumbent,House,Y,Y,N,N,N,C00568089,Stand PAC,,,,,,
"Allen, Rick W.",Georgia,12,Republican,incumbent,House,Y,Y,N,N,N,C00635201,RWA Fund,,,,,,
"Scott, David",Georgia,13,Democratic,incumbent,House,Y,Y,N,N,N,C00430579,Brave PAC,,,,,,
"Greene, Marjorie Taylor",Georgia,14,Republican,incumbent,House,Y,Y,Y,N,N,C00755199,Save America Stop Socialism PAC,C00869826,MTG FOR GEORGIA LEADERSHIP COMMITTEE,,,,
"Ossoff, Jon",Georgia,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00769109,HEALTH JOBS JUSTICE,,,,,,
"Warnock, Raphael G.",Georgia,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00767871,REV UP PAC,,,,,,
"Moylan, James C.",Guam,At Large,Republican,freshman,House,N,Y,N,N,N,C00853622,PROTECTING THE PACIFIC PAC,,,,,,
"Case, Ed",Hawaii,1,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Tokuda, Jill N.",Hawaii,2,Democratic,freshman,House,Y,N,N,N,N,,,,,,,,
"Hirono, Mazie K.",Hawaii,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00539601,Pineapple PAC,,,,,,
"Schatz, Brian",Hawaii,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00567693,Hawaii PAC,,,,,,
"Fulcher, Russ",Idaho,1,Republican,incumbent,House,Y,Y,N,N,N,C00729897,Gem State PAC,,,,,,
"Simpson, Michael K.",Idaho,2,Republican,incumbent,House,Y,Y,N,N,N,C00461996,Sawtooth PAC,,,,,,
"Crapo, Mike",Idaho,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00390674,Freedom Fund,C00544270,Idaho Conservative Growth Fund,,,,
"Risch, James E.",Idaho,At Large,Republican,incumbent,Senate,Y,Y,Y,Y,Y,C00656637,Save America PAC II,C00461723,Save America PAC,C00772434,PAC for America,C00772442,PAC FOR AMERICA 2
"Jackson, Jonathan L.",Illinois,1,Democratic,freshman,House,Y,Y,N,N,N,C00886390,Moving Forward PAC,,,,,,
"Kelly, Robin L.",Illinois,2,Democratic,incumbent,House,Y,Y,N,N,N,C00603134,Visionary PAC,,,,,,
"Ramirez, Delia C.",Illinois,3,Democratic,freshman,House,Y,Y,N,N,N,C00863712,ROOTED & READY PAC,,,,,,
"Garcia, Jesus G. ""Chuy""",Illinois,4,Democratic,incumbent,House,Y,Y,N,N,N,C00690669,Transformative Change PAC,,,,,,
"Quigley, Mike",Illinois,5,Democratic,incumbent,House,Y,Y,N,N,N,C00662056,Blue Line PAC,,,,,,
"Casten, Sean",Illinois,6,Democratic,incumbent,House,Y,Y,N,N,N,C00747642,Science Truth and Expertise Matter PAC,,,,,,
"Davis, Danny K.",Illinois,7,Democratic,incumbent,House,Y,Y,N,N,N,C00882043,URBAN PROGRESS LEADERSHIP PAC,,,,,,
"Krishnamoorthi, Raja",Illinois,8,Democratic,incumbent,House,Y,Y,N,N,N,C00649772,Reviving American Jobs Again,,,,,,
"Schakowsky, Janice D.",Illinois,9,Democratic,incumbent,House,Y,Y,N,N,N,C00381806,Progressive Choices PAC,,,,,,
"Schneider, Bradley Scott",Illinois,10,Democratic,incumbent,House,Y,Y,N,N,N,C00655423,Bridge the GAP PAC,,,,,,
"Foster, Bill",Illinois,11,Democratic,incumbent,House,Y,Y,N,N,N,C00571943,Fostering Progress PAC,,,,,,
"Bost, Mike",Illinois,12,Republican,incumbent,House,Y,Y,N,N,N,C00629832,Building Opportunities for a Stronger Tomorrow,,,,,,
"Budzinski, Nikki",Illinois,13,Democratic,freshman,House,Y,Y,N,N,N,C00840462,BUDWINSKI PAC,,,,,,
"Underwood, Lauren",Illinois,14,Democratic,incumbent,House,Y,Y,N,N,N,C00694471,American Mosaic PAC,,,,,,
"Miller, Mary E.",Illinois,15,Republican,incumbent,House,Y,Y,N,N,N,C00805671,Faith in America,,,,,,
"LaHood, Darin",Illinois,16,Republican,incumbent,House,Y,Y,N,N,N,C00631051,Abraham Lincoln PAC,,,,,,
"Sorensen, Eric",Illinois,17,Democratic,freshman,House,Y,Y,N,N,N,C00846071,Storm PAC,,,,,,
"Duckworth, Tammy",Illinois,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00544254,Perimeter PAC,,,,,,
"Durbin, Richard J.",Illinois,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00347195,Prairie PAC,,,,,,
"Mrvan, Frank J.",Indiana,1,Democratic,incumbent,House,Y,Y,N,N,N,C00867986,REGION LEADERSHIP PAC  ,,,,,,
"Yakym, Rudy",Indiana,2,Republican,incumbent,House,Y,Y,N,N,N,C00823351,Republicans United to Defend You (RUDY) PAC,,,,,,
"Banks, Jim",Indiana,3,Republican,incumbent,House,Y,Y,Y,N,N,C00493221,The Guardian Fund,C00326439,HOUSE CONSERVATIVES FUND,C00832469,BUILDING A NATIONAL KNOWLEGEABLE SECURITY PAC,,
"Baird, James R.",Indiana,4,Republican,incumbent,House,Y,Y,N,N,N,C00862730,Proud American,,,,,,
"Spartz, Victoria",Indiana,5,Republican,incumbent,House,Y,Y,N,N,N,C00764134,FREE MARKET FUND,,,,,,
"Pence, Greg",Indiana,6,Republican,incumbent,House,Y,Y,N,N,N,C00680322,Mustang PAC,,,,,,
"Carson, Andre",Indiana,7,Democratic,incumbent,House,Y,Y,N,N,N,C00511196,America Now,,,,,,
"Bucshon, Larry",Indiana,8,Republican,incumbent,House,Y,Y,N,N,N,C00523381,HeartDocPAC,,,,,,
"Houchin, Erin",Indiana,9,Republican,freshman,House,Y,Y,N,N,N,C00816389,ELECTING REPUBLICANS INDIANA PAC,,,,,,
"Braun, Mike",Indiana,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00691162,Hoosier PAC,,,,,,
"Young, Todd",Indiana,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00687343,All Hands PAC,C00551853,Oorah! PAC,,,,
"Miller-Meeks, Mariannette",Iowa,1,Republican,incumbent,House,Y,Y,N,N,N,C00770255,SIX POLITICAL ACTION COMMITTEE,,,,,,
"Hinson, Ashley",Iowa,2,Republican,incumbent,House,Y,Y,N,N,N,C00762328,Fight On PAC,,,,,,
"Nunn, Zachary",Iowa,3,Republican,freshman,House,Y,Y,N,N,N,C00818740,CALL TO SERVICE PAC,,,,,,
"Feenstra, Randy",Iowa,4,Republican,incumbent,House,Y,Y,Y,N,N,C00756825,Delivers PAC,C00887539,IOWA VALUES PAC,,,,
"Ernst, Joni",Iowa,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00566851,"Jobs, Opportunity & New Ideas PAC",,,,,,
"Grassley, Chuck",Iowa,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00379479,Hawkeye PAC,C00698977,Goldfinch PAC,,,,
"Mann, Tracey",Kansas,1,Republican,incumbent,House,Y,Y,N,N,N,C00758433,Great Plains PAC,,,,,,
"LaTurner, Jake",Kansas,2,Republican,incumbent,House,Y,Y,N,N,N,C00773234,KANSAS VICTORY PAC,,,,,,
"Davids, Sharice",Kansas,3,Democratic,incumbent,House,Y,Y,N,N,N,C00724443,Sunflower Seeds PAC,,,,,,
"Estes, Ron",Kansas,4,Republican,incumbent,House,Y,Y,N,N,N,C00649525,Restoring Our Nation PAC,,,,,,
"Marshall, Roger",Kansas,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00632323,Defend our Conservative Senate (DOC's) PAC,,,,,,
"Moran, Jerry",Kansas,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00455717,Free State PAC,,,,,,
"Comer, James",Kentucky,1,Republican,incumbent,House,Y,Y,N,N,N,C00650853,Comer PAC,,,,,,
"Guthrie, Brett",Kentucky,2,Republican,incumbent,House,Y,Y,Y,N,N,C00483487,BRETTPAC,C00879288,NICE PAC,,,,
"McGarvey, Morgan",Kentucky,3,Democratic,freshman,House,Y,Y,N,N,N,C00829663,NOT SO OLD FASHIONED PAC,,,,,,
"Massie, Thomas",Kentucky,4,Republican,incumbent,House,Y,Y,N,N,N,C00563429,Making a Sensible Shift in Elections,,,,,,
"Rogers, Harold",Kentucky,5,Republican,incumbent,House,Y,Y,N,N,N,C00376038,Help America's Leaders,,,,,,
"Barr, Andy",Kentucky,6,Republican,incumbent,House,Y,Y,N,N,N,C00572271,Building America's Republican Representation,,,,,,
"McConnell, Mitch",Kentucky,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00235655,Bluegrass Cmte,C00760348,Making Investments Toward Conservative Heroes PAC,,,,
"Paul, Rand",Kentucky,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00493924,Reinventing a New Direction,,,,,,
"Scalise, Steve",Louisiana,1,Republican,incumbent,House,Y,Y,N,N,N,C00467431,Eye of the Tiger PAC,,,,,,
"Carter, Troy",Louisiana,2,Democratic,incumbent,House,Y,Y,N,N,N,C00794198,BUILD THE BENCH PAC,,,,,,
"Higgins, Clay",Louisiana,3,Republican,incumbent,House,Y,Y,N,N,N,C00652305,Redemption PAC,,,,,,
"Johnson, Mike",Louisiana,4,Republican,incumbent,House,Y,Y,Y,N,N,C00639229,American Revival PAC,C00326439,House Conservatives Fund,,,,
"Letlow, Julia",Louisiana,5,Republican,incumbent,House,Y,Y,N,N,N,C00764761,Start Rising PAC,,,,,,
"Graves, Garret",Louisiana,6,Republican,incumbent,House,Y,Y,N,N,N,C00635557,Do Right Bayou,,,,,,
"Cassidy, Bill",Louisiana,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00480228,Continuing America's Strength & Security,,,,,,
"Kennedy, John",Louisiana,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00634774,Pelican PAC,,,,,,
"Pingree, Chellie",Maine,1,Democratic,incumbent,House,Y,Y,N,N,N,C00840918,FARM TO TABLE PAC,,,,,,
"Golden, Jared F.",Maine,2,Democratic,incumbent,House,Y,Y,N,N,N,C00834101,AS MAINE GOES PAC,,,,,,
"Collins, Susan M.",Maine,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00391797,Dirigo PAC,,,,,,
"King, Angus S., Jr.",Maine,At Large,Independent,incumbent,Senate,Y,Y,N,N,N,C00552539,Make It Work,,,,,,
"Harris, Andy",Maryland,1,Republican,incumbent,House,Y,Y,N,N,N,C00492819,Chesapeake PAC,,,,,,
"Ruppersberger, C. A. Dutch",Maryland,2,Democratic,incumbent,House,Y,Y,N,N,N,C00448001,Dutch PAC,,,,,,
"Sarbanes, John P.",Maryland,3,Democratic,incumbent,House,Y,Y,N,N,N,C00575662,The US Campaign Fund,,,,,,
"Ivey, Glenn",Maryland,4,Democratic,freshman,House,Y,Y,N,N,N,C00862581,Higher Ground PAC,,,,,,
"Hoyer, Steny H.",Maryland,5,Democratic,incumbent,House,Y,Y,N,N,N,C00271338,AmeriPAC: The Fund for a Greater America,,,,,,
"Trone, David J.",Maryland,6,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Mfume, Kweisi",Maryland,7,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Raskin, Jamie",Maryland,8,Democratic,incumbent,House,Y,Y,N,N,N,C00664318,Democracy Summer Leadership PAC,,,,,,
"Cardin, Benjamin L.",Maryland,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00385534,LEGPAC,,,,,,
"Van Hollen, Chris",Maryland,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00416743,Victory Now PAC,,,,,,
"Neal, Richard E.",Massachusetts,1,Democratic,incumbent,House,Y,Y,N,N,N,C00426809,Madison PAC (Neal),,,,,,
"McGovern, James P.",Massachusetts,2,Democratic,incumbent,House,Y,Y,N,N,N,C00461251,Mac PAC,,,,,,
"Trahan, Lori",Massachusetts,3,Democratic,incumbent,House,Y,Y,N,N,N,C00787317,SPIKE PAC,,,,,,
"Auchincloss, Jake",Massachusetts,4,Democratic,incumbent,House,Y,Y,N,N,N,C00786392,MA 4 DEMS PAC,,,,,,
"Clark, Katherine M.",Massachusetts,5,Democratic,incumbent,House,Y,Y,N,N,N,C00574970,Fair Shot PAC,,,,,,
"Moulton, Seth",Massachusetts,6,Democratic,incumbent,House,Y,Y,Y,N,N,C00571174,Serve America PAC,C00656439,Serve America PAC- Restricted,,,,
"Pressley, Ayanna",Massachusetts,7,Democratic,incumbent,House,Y,Y,N,N,N,C00706630,Power of Us PAC,,,,,,
"Lynch, Stephen F.",Massachusetts,8,Democratic,incumbent,House,Y,Y,N,N,N,C00491142,Common Sense Democrat PAC,,,,,,
"Keating, William R.",Massachusetts,9,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Markey, Edward J.",Massachusetts,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00564187,Educate & Innovate PAC,,,,,,
"Warren, Elizabeth",Massachusetts,At Large,Democratic,incumbent,Senate,Y,N,N,N,N,,,,,,,,
"Bergman, Jack",Michigan,1,Republican,incumbent,House,Y,Y,N,N,N,C00636837,Star PAC,,,,,,
"Moolenaar, John R.",Michigan,2,Republican,incumbent,House,Y,Y,N,N,N,C00583526,"TOGETHER UNITED FOR LIBERTY, INTEGRITY AND PROSPERITY PAC (TULIP PAC)",,,,,,
"Scholten, Hillary J.",Michigan,3,Democratic,freshman,House,Y,Y,N,N,N,C00841908,A PLEASANT PENINSULA PAC,,,,,,
"Huizenga, Bill",Michigan,4,Republican,incumbent,House,Y,Y,N,N,N,C00503151,UPPER HAND FUND (FORMERLY HUIZENGA MAJORITY FUND),,,,,,
"Walberg, Tim",Michigan,5,Republican,incumbent,House,Y,Y,N,N,N,C00498360,Truth Is Markets Work Fund,,,,,,
"Dingell, Debbie",Michigan,6,Democratic,incumbent,House,Y,Y,N,N,N,C00451583,Wolverine PAC,,,,,,
"Slotkin, Elissa",Michigan,7,Democratic,incumbent,House,Y,Y,N,N,N,C00832147,Mitten PAC,,,,,,
"Kildee, Daniel T.",Michigan,8,Democratic,incumbent,House,Y,Y,N,N,N,C00502096,Michigan's Future PAC,,,,,,
"McClain, Lisa C.",Michigan,9,Republican,incumbent,House,Y,Y,N,N,N,C00764886,MICHIGAN VALUES PAC,,,,,,
"James, John",Michigan,10,Republican,freshman,House,Y,Y,N,N,N,C00774588,MISSION FIRST PEOPLE ALWAYS PAC,,,,,,
"Stevens, Haley M.",Michigan,11,Democratic,incumbent,House,Y,Y,N,N,N,C00746735,HMS Scrap PAC,,,,,,
"Tlaib, Rashida",Michigan,12,Democratic,incumbent,House,Y,Y,N,N,N,C00741371,Rooted in Community PAC,,,,,,
"Thanedar, Shri",Michigan,13,Democratic,freshman,House,Y,N,N,N,N,,,,,,,,
"Peters, Gary C.",Michigan,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00507574,Motor City PAC,,,,,,
"Stabenow, Debbie",Michigan,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00375584,Great Lakes PAC,,,,,,
"Finstad, Brad",Minnesota,1,Republican,incumbent,House,Y,Y,N,N,N,C00818542,FIELD OF DREAMS PAC,,,,,,
"Craig, Angie",Minnesota,2,Democratic,incumbent,House,Y,Y,N,N,N,C00762369,Summit PAC,,,,,,
"Phillips, Dean",Minnesota,3,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"McCollum, Betty",Minnesota,4,Democratic,incumbent,House,Y,Y,N,N,N,C00405050,Betty PAC,,,,,,
"Omar, Ilhan",Minnesota,5,Democratic,incumbent,House,Y,Y,N,N,N,C00688846,Inspiring Leadership Has A New Name (ILHAN) PAC,,,,,,
"Emmer, Tom",Minnesota,6,Republican,incumbent,House,Y,Y,N,N,N,C00592089,Electing Majority Making Effective Republicans,,,,,,
"Fischbach, Michelle",Minnesota,7,Republican,incumbent,House,Y,Y,N,N,N,C00758813,MNM PAC,,,,,,
